name,author,rating,year,genre
The Sun and Her Flowers,Rupi Kaur,4.7,2017,Non Fiction
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,2012,Childrens
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,2011,Fiction
The Time Traveler's Wife,Audrey Niffenegger,4.4,2009,Fiction
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,2009,Non Fiction
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,2019,Non Fiction
The Twilight Saga Collection,Stephenie Meyer,4.7,2009,Fiction
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,2010,Childrens
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,2019,Non Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,2013,Fiction
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,2015,Non Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,2016,Childrens
The Wonky Donkey,Craig Smith,4.8,2018,Fiction
The Wright Brothers,David McCullough,4.7,2015,Non Fiction
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,2013,Non Fiction
"Thinking, Fast and Slow",Daniel Kahneman,4.6,2011,Non Fiction
Thirteen Reasons Why,Jay Asher,4.5,2017,Fiction
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,2012,Non Fiction
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,2009,Non Fiction
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,2014,Non Fiction
Tina Fey: Bossypants,Tina Fey,4.3,2011,Non Fiction
To Kill a Mockingbird,Harper Lee,4.8,2013,Fiction
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,2017,Non Fiction
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2010,Fiction
True Compass: A Memoir,Edward M. Kennedy,4.5,2009,Non Fiction
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,2009,Fiction
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2014,Childrens
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,2010,Non Fiction
Under the Dome: A Novel,Stephen King,4.3,2009,Fiction
Unfreedom of the Press,Mark R. Levin,4.9,2019,Non Fiction
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,2019,Childrens
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,2016,Non Fiction
Watchmen,Alan Moore,4.8,2009,Fiction
Water for Elephants: A Novel,Sara Gruen,4.5,2011,Fiction
What Happened,Hillary Rodham Clinton,4.6,2017,Non Fiction
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,2014,Non Fiction
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,2015,Childrens
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,2019,Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.4,2011,Non Fiction
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,2012,Non Fiction
When Breath Becomes Air,Paul Kalanithi,4.8,2016,Non Fiction
Where the Crawdads Sing,Delia Owens,4.8,2019,Fiction
Where the Wild Things Are,Maurice Sendak,4.8,2009,Childrens
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,2018,Non Fiction
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,2012,Non Fiction
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,2012,Fiction
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,2010,Non Fiction
Wonder,R. J. Palacio,4.8,2013,Fiction
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,2019,Childrens
