,Age,City,Event,Games,Height,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
23585,21.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Freestyle",2016 Summer,180.0,Bronze,USA,J'den Michael Tbory Cox,Summer,M,Wrestling,United States,45714,86.0,2016
23974,23.0,Rio de Janeiro,Athletics Men's Shot Put,2016 Summer,201.0,Gold,USA,Ryan Crouser,Summer,M,Athletics,United States,46475,125.0,2016
23988,30.0,Rio de Janeiro,Rowing Women's Single Sculls,2016 Summer,188.0,Gold,AUS,"Kimberley ""Kim"" Crow-Brennan",Summer,F,Rowing,Australia,46500,74.0,2016
24028,29.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,176.0,Silver,ESP,Anna Cruz Lebrato,Summer,F,Basketball,Spain,46559,60.0,2016
24064,20.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,187.0,Bronze,SRB,Aleksandra Crvendaki,Summer,F,Basketball,Serbia,46628,76.0,2016
24093,30.0,Rio de Janeiro,Swimming Men's 100 metres Butterfly,2016 Summer,188.0,Silver,HUN,"Lszl Cseh, Jr.",Summer,M,Swimming,Hungary,46722,83.0,2016
24313,25.0,Rio de Janeiro,"Wrestling Men's Welterweight, Greco-Roman",2016 Summer,171.0,Bronze,AZE,Rsul unayev,Summer,M,Wrestling,Azerbaijan,47169,66.0,2016
24765,26.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,183.0,Bronze,SRB,Ana Dabovi,Summer,F,Basketball,Serbia,48048,70.0,2016
24767,34.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,173.0,Bronze,SRB,Milica Dabovi,Summer,F,Basketball,Serbia,48051,63.0,2016
25145,28.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,169.0,Silver,FRA,Blandine Dancette,Summer,F,Handball,France,48791,60.0,2016
25807,29.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,168.0,Silver,JAM,Christine Day,Summer,F,Athletics,Jamaica,50150,51.0,2016
26135,21.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,176.0,Bronze,CAN,Andre De Grasse,Summer,M,Athletics,Canada,50821,70.0,2016
26718,29.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,172.0,Silver,GBR,Zoe Michaela  de Toledo,Summer,F,Rowing,Great Britain,51985,58.0,2016
27357,26.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,195.0,Gold,USA,Elena Delle Donne,Summer,F,Basketball,United States,53294,86.0,2016
27438,30.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,172.0,Silver,FRA,Siraba Dembl,Summer,F,Handball,France,53459,64.0,2016
27488,26.0,Rio de Janeiro,Athletics Women's High Jump,2016 Summer,180.0,Silver,BUL,Mirela Krasimirova Demireva,Summer,F,Athletics,Bulgaria,53579,58.0,2016
27495,25.0,Rio de Janeiro,"Wrestling Men's Middleweight, Freestyle",2016 Summer,170.0,Bronze,TUR,Soner Demirta,Summer,M,Wrestling,Turkey,53599,74.0,2016
27572,24.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,163.0,Bronze,CHN,Deng Shudi,Summer,M,Gymnastics,China,53763,58.0,2016
27601,22.0,Rio de Janeiro,Taekwondo Men's Featherweight,2016 Summer,185.0,Silver,RUS,Aleksey Alekseyevich Denisenko,Summer,M,Taekwondo,Russia,53816,68.0,2016
27743,26.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,201.0,Gold,USA,DeMar Darnell DeRozan,Summer,M,Basketball,United States,54075,99.0,2016
27897,21.0,Rio de Janeiro,"Swimming Men's 1,500 metres Freestyle",2016 Summer,184.0,Bronze,ITA,Gabriele Detti,Summer,M,Swimming,Italy,54371,79.0,2016
28068,24.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,184.0,Bronze,ITA,Marco Di Costanzo,Summer,M,Rowing,Italy,54773,87.0,2016
28171,25.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,173.0,Bronze,GBR,Emily Jane Diamond,Summer,F,Athletics,Great Britain,54965,58.0,2016
28311,25.0,Rio de Janeiro,"Athletics Women's 1,500 metres",2016 Summer,168.0,Silver,ETH,Genzebe Dibaba Keneni,Summer,F,Athletics,Ethiopia,55199,52.0,2016
28312,26.0,Rio de Janeiro,Athletics Women's Marathon,2016 Summer,156.0,Bronze,ETH,Mare Dibaba Hurssa (-Ibrahimova-),Summer,F,Athletics,Ethiopia,55201,45.0,2016
28313,31.0,Rio de Janeiro,"Athletics Women's 10,000 metres",2016 Summer,166.0,Bronze,ETH,Tirunesh Dibaba Keneni,Summer,F,Athletics,Ethiopia,55207,50.0,2016
28663,26.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,180.0,Gold,CHN,Ding Xia,Summer,F,Volleyball,China,55927,67.0,2016
28727,28.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,202.0,Silver,FRA,Adrien Dipanda,Summer,M,Handball,France,56065,105.0,2016
28734,23.0,Rio de Janeiro,Swimming Women's 400 metres Individual Medley,2016 Summer,175.0,Silver,USA,"Madeline Jane ""Maya"" DiRado",Summer,F,Swimming,United States,56075,65.0,2016
28759,24.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,203.0,Bronze,GER,Christian Dissinger,Summer,M,Handball,Germany,56128,105.0,2016
28906,20.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,178.0,Gold,RUS,Darya Yevgenyevna Dmitriyeva,Summer,F,Handball,Russia,56423,74.0,2016
29282,29.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,167.0,Silver,ESP,Slvia Domnguez Fernndez,Summer,F,Basketball,Spain,57148,64.0,2016
29366,27.0,Rio de Janeiro,Athletics Men's Triple Jump,2016 Summer,180.0,Bronze,CHN,Dong Bin,Summer,M,Athletics,China,57333,74.0,2016
29508,28.0,Rio de Janeiro,Boxing Men's Lightweight,2016 Summer,170.0,Bronze,MGL,Dorjnyambuugiin Otgondalai,Summer,M,Boxing,Mongolia,57629,60.0,2016
29618,21.0,Rio de Janeiro,"Wrestling Women's Light-Heavyweight, Freestyle",2016 Summer,159.0,Gold,JPN,Sara Dosho,Summer,F,Wrestling,Japan,57840,69.0,2016
29686,20.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,157.0,Gold,USA,"Gabrielle Christina Victoria ""Gabby"" Douglas",Summer,F,Gymnastics,United States,58021,50.0,2016
29899,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,200.0,Silver,GER,Felix Drahotta,Summer,M,Rowing,Germany,58440,102.0,2016
29989,19.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,191.0,Gold,USA,Caeleb Remel Dressel,Summer,M,Swimming,United States,58607,86.0,2016
30097,26.0,Rio de Janeiro,Athletics Men's High Jump,2016 Summer,196.0,Gold,CAN,Derek Drouin,Summer,M,Athletics,Canada,58822,83.0,2016
30126,25.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,150.0,Bronze,ROU,Daniela Druncea,Summer,F,Rowing,Romania,58864,50.0,2016
30136,21.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,192.0,Bronze,GER,Paul Drux,Summer,M,Handball,Germany,58882,106.0,2016
30156,37.0,Rio de Janeiro,Rowing Men's Single Sculls,2016 Summer,200.0,Gold,NZL,Alexander Mah Owens Drysdale,Summer,M,Rowing,New Zealand,58935,102.0,2016
30216,27.0,Rio de Janeiro,Rowing Women's Single Sculls,2016 Summer,180.0,Bronze,CHN,Duan Jingli,Summer,F,Rowing,China,59027,76.0,2016
30615,24.0,Rio de Janeiro,Boxing Men's Light-Welterweight,2016 Summer,174.0,Bronze,RUS,Vitaly Vladimirovich Dunaytsev,Summer,M,Boxing,Russia,59765,64.0,2016
30661,23.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,195.0,Silver,JAM,Fitzroy Junior Dunkley,Summer,M,Athletics,Jamaica,59890,79.0,2016
30664,27.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,194.0,Silver,AUS,Joshua Dunkley-Smith,Summer,M,Rowing,Australia,59895,98.0,2016
30807,27.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,206.0,Gold,USA,Kevin Wayne Durant,Summer,M,Basketball,United States,60168,105.0,2016
30808,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,196.0,Gold,GBR,Scott David Durant,Summer,M,Rowing,Great Britain,60169,96.0,2016
30884,23.0,Rio de Janeiro,Boxing Men's Light-Flyweight,2016 Summer,156.0,Gold,UZB,Hasanboy Dusmatov,Summer,M,Boxing,Uzbekistan,60305,49.0,2016
31012,27.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,196.0,Gold,USA,Conor James Dwyer,Summer,M,Swimming,United States,60549,89.0,2016
31041,25.0,Rio de Janeiro,Boxing Men's Super-Heavyweight,2016 Summer,205.0,Bronze,KAZ,Ivan Fyodorovich Dychko,Summer,M,Boxing,Kazakhstan,60619,91.0,2016
31205,28.0,Rio de Janeiro,Athletics Men's Decathlon,2016 Summer,186.0,Gold,USA,Ashton James Eaton,Summer,M,Athletics,United States,60914,81.0,2016
31360,31.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,178.0,Silver,GBR,"Jessica Jane ""Jess"" Eddie",Summer,F,Rowing,Great Britain,61219,75.0,2016
31381,32.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,205.0,Gold,BRA,der Francis Carbonera,Summer,M,Volleyball,Brazil,61260,107.0,2016
31513,27.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,182.0,Silver,FRA,Batrice Edwige,Summer,F,Handball,France,61542,76.0,2016
31634,23.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,172.0,Bronze,JPN,Naito Ehara,Summer,M,Swimming,Japan,61795,59.0,2016
32382,23.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,183.0,Gold,USA,Taylor Ellis-Watson,Summer,F,Athletics,United States,63159,65.0,2016
32404,25.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,180.0,Gold,USA,Amanda Elmore,Summer,F,Rowing,United States,63201,80.0,2016
32407,22.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,179.0,Silver,AUS,Brittany Joyce Elmslie,Summer,F,Swimming,Australia,63212,73.0,2016
32577,37.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,198.0,Bronze,EST,Tnu Endrekson,Summer,M,Rowing,Estonia,63602,104.0,2016
32710,30.0,Rio de Janeiro,Athletics Women's Heptathlon,2016 Summer,165.0,Silver,GBR,Jessica Phyllis Ennis-Hill,Summer,F,Athletics,Great Britain,63844,57.0,2016
33079,35.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,191.0,Gold,USA,Anthony Lee Ervin,Summer,M,Swimming,United States,64651,80.0,2016
33095,40.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,184.0,Gold,BRA,"Srgio ""Escadinha"" Dutra dos Santos",Summer,M,Volleyball,Brazil,64678,78.0,2016
33238,28.0,Rio de Janeiro,Taekwondo Women's Heavyweight,2016 Summer,173.0,Silver,MEX,Mara del Rosario Espinoza Espinoza,Summer,F,Taekwondo,Mexico,64952,70.0,2016
33664,20.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,198.0,Silver,FRA,Ludovic Fabregas,Summer,M,Handball,France,65779,100.0,2016
33686,31.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,162.0,Silver,JAM,Simone Facey,Summer,F,Athletics,Jamaica,65828,53.0,2016
33952,16.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,148.0,Bronze,CHN,Fan Yilin,Summer,F,Gymnastics,China,66373,37.0,2016
34012,33.0,Rio de Janeiro,"Athletics Men's 10,000 metres",2016 Summer,175.0,Gold,GBR,"Mohamed Muktar Jama ""Mo"" Farah",Summer,M,Athletics,Great Britain,66487,58.0,2016
34217,26.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,199.0,Bronze,GER,Steffen Fth,Summer,M,Handball,Germany,66893,97.0,2016
34467,26.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,196.0,Gold,USA,"James ""Jimmy"" Feigen",Summer,M,Swimming,United States,67430,98.0,2016
34551,30.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,168.0,Gold,USA,Allyson Michelle Felix,Summer,F,Athletics,United States,67607,56.0,2016
34876,31.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,196.0,Bronze,ESP,"Rodolfo ""Rudy"" Fernndez Farrs",Summer,M,Basketball,Spain,68274,84.0,2016
35443,19.0,Rio de Janeiro,Boxing Men's Flyweight,2016 Summer,168.0,Bronze,VEN,Yoel Segundo Finol Rivas,Summer,M,Boxing,Venezuela,69535,52.0,2016
36182,28.0,Rio de Janeiro,Boxing Women's Middleweight,2016 Summer,180.0,Silver,NED,Nouchka Fontijn,Summer,F,Boxing,Netherlands,71064,75.0,2016
36212,20.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,160.0,Silver,JAM,Shashalee Forbes,Summer,F,Athletics,Jamaica,71116,55.0,2016
36350,36.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,191.0,Silver,AUS,Karsten Forsterling,Summer,M,Rowing,Australia,71367,88.0,2016
36558,30.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,198.0,Gold,USA,Sylvia Shaqueria Fowles,Summer,F,Basketball,United States,71836,90.0,2016
36595,30.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,182.0,Bronze,NOR,Marit Malm Frafjord,Summer,F,Handball,Norway,71914,78.0,2016
36669,21.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,183.0,Silver,JAM,Javon Francis,Summer,M,Athletics,Jamaica,72074,68.0,2016
36677,24.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,180.0,Gold,USA,Phyllis Chanez Francis,Summer,F,Athletics,United States,72084,72.0,2016
36785,21.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,188.0,Gold,USA,"Melissa Jeanette ""Missy"" Franklin",Summer,F,Swimming,United States,72315,77.0,2016
36802,29.0,Rio de Janeiro,"Wrestling Women's Light-Heavyweight, Freestyle",2016 Summer,169.0,Bronze,SWE,Anna Jenny Eva Maria Fransson (Magnusson-),Summer,F,Wrestling,Sweden,72348,73.0,2016
36870,29.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,160.0,Silver,JAM,Shelly-Ann Fraser-Pryce,Summer,F,Athletics,Jamaica,72487,57.0,2016
37402,20.0,Rio de Janeiro,Swimming Women's 100 metres Backstroke,2016 Summer,179.0,Bronze,CHN,Fu Yuanhui,Summer,F,Swimming,China,73595,63.0,2016
37589,29.0,Rio de Janeiro,Rowing Women's Double Sculls,2016 Summer,173.0,Gold,POL,Magdalena Fularczyk-Kozowska,Summer,F,Rowing,Poland,73971,70.0,2016
38162,20.0,Rio de Janeiro,Taekwondo Women's Heavyweight,2016 Summer,178.0,Bronze,USA,"Jacqueline ""Jackie"" Galloway",Summer,F,Taekwondo,United States,75210,80.0,2016
38258,26.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Greco-Roman",2016 Summer,176.0,Bronze,BLR,Dzhavid Shakirovich Gamzatov,Summer,M,Wrestling,Belarus,75369,91.0,2016
38753,20.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,193.0,Bronze,BAH,Steven Gardiner,Summer,M,Athletics,Bahamas,76373,94.0,2016
38761,24.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,168.0,Gold,USA,English Gardner,Summer,F,Athletics,United States,76390,55.0,2016
38960,36.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,215.0,Bronze,ESP,Pau Gasol Sez,Summer,M,Basketball,Spain,76754,115.0,2016
39035,34.0,Rio de Janeiro,Athletics Men's 100 metres,2016 Summer,186.0,Silver,USA,Justin Alexander Gatlin,Summer,M,Athletics,United States,76922,80.0,2016
39193,25.0,Rio de Janeiro,Boxing Men's Light-Welterweight,2016 Summer,169.0,Gold,UZB,Fazliddin Khasanbayevich Gaybnazarov,Summer,M,Boxing,Uzbekistan,77226,64.0,2016
39246,22.0,Rio de Janeiro,Taekwondo Women's Welterweight,2016 Summer,176.0,Bronze,CIV,Ruth Marie Christelle Gbagbi,Summer,F,Taekwondo,Cote d'Ivoire,77337,65.0,2016
39290,22.0,Rio de Janeiro,"Athletics Men's 5,000 metres",2016 Summer,171.0,Bronze,ETH,Hagos Gebrhiwet Berhe,Summer,M,Athletics,Ethiopia,77435,56.0,2016
39312,29.0,Rio de Janeiro,"Wrestling Men's Middleweight, Freestyle",2016 Summer,173.0,Silver,RUS,Aniuar Borisovich Geduyev,Summer,M,Wrestling,Russia,77479,74.0,2016
39502,29.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,188.0,Bronze,GER,Uwe Gensheimer,Summer,M,Handball,Germany,77801,88.0,2016
39561,26.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,206.0,Gold,USA,Paul George,Summer,M,Basketball,United States,77908,99.0,2016
39663,29.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,189.0,Silver,FRA,Vincent Grard,Summer,M,Handball,France,78110,100.0,2016
39672,30.0,Rio de Janeiro,Swimming Women's 50 metres Freestyle,2016 Summer,175.0,Bronze,BLR,Aleksandra Viktorovna Gerasimenya,Summer,F,Swimming,Belarus,78131,60.0,2016
39949,28.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Freestyle",2016 Summer,186.0,Silver,IRI,Komeil Nemat Ghasemi,Summer,M,Wrestling,Iran,78681,115.0,2016
40102,19.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,198.0,Silver,ITA,Simone Giannelli,Summer,M,Volleyball,Italy,78977,92.0,2016
40104,36.0,Rio de Janeiro,Swimming Men's 10 kilometres Open Water,2016 Summer,185.0,Silver,GRE,"Spyridon ""Spyros"" Gianniotis",Summer,M,Swimming,Greece,78988,78.0,2016
40243,24.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,191.0,Silver,ESP,Laura Gil Collado,Summer,F,Basketball,Spain,79253,78.0,2016
40403,32.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,193.0,Silver,FRA,Fabien Pierre Aurlien Dominique Gilot,Summer,M,Swimming,France,79555,85.0,2016
40549,28.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,190.0,Silver,AUS,Cameron Girdlestone,Summer,M,Rowing,Australia,79876,92.0,2016
40641,23.0,Rio de Janeiro,Boxing Men's Welterweight,2016 Summer,174.0,Silver,UZB,Shakhram Dzhamshedovich Giyasov,Summer,M,Boxing,Uzbekistan,80073,69.0,2016
40709,28.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,183.0,Bronze,USA,Alisha Rebecca Glass,Summer,F,Volleyball,United States,80221,72.0,2016
40724,22.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,178.0,Silver,FRA,Laura Glauser,Summer,F,Handball,France,80241,65.0,2016
40818,30.0,Rio de Janeiro,Rowing Women's Coxless Pairs,2016 Summer,177.0,Gold,GBR,Helen Rachel M. Glover,Summer,F,Rowing,Great Britain,80424,67.0,2016
40904,25.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,185.0,Gold,USA,Tessa Gobbo,Summer,F,Rowing,United States,80570,82.0,2016
41425,19.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,186.0,Gold,CHN,Gong Xiangyu,Summer,F,Volleyball,China,81601,72.0,2016
41543,26.0,Rio de Janeiro,Taekwondo Men's Featherweight,2016 Summer,185.0,Bronze,ESP,Joel Gonzlez Bonilla,Summer,M,Taekwondo,Spain,81822,68.0,2016
41597,27.0,Rio de Janeiro,Athletics Women's 20 kilometres Walk,2016 Summer,162.0,Silver,MEX,Mara Guadalupe Gonzlez Romero,Summer,F,Athletics,Mexico,81925,47.0,2016
41795,21.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,168.0,Silver,JAM,Chrisann Gordon,Summer,F,Athletics,Jamaica,82283,65.0,2016
41957,19.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,173.0,Bronze,CAN,Kennedy Goss,Summer,F,Swimming,Canada,82586,74.0,2016
42000,27.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,195.0,Gold,GBR,"Matthew Anthony W. ""Matt"" Gotrel",Summer,M,Rowing,Great Britain,82674,95.0,2016
42312,40.0,Rio de Janeiro,Rowing Women's Double Sculls,2016 Summer,183.0,Silver,GBR,Katherine Jane Grainger,Summer,F,Rowing,Great Britain,83279,78.0,2016
42585,24.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,198.0,Silver,FRA,Mathieu Grbille,Summer,M,Handball,France,83766,100.0,2016
42622,26.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,200.0,Gold,USA,Draymond Jamal Green,Summer,M,Basketball,United States,83874,104.0,2016
42734,32.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,198.0,Gold,GBR,"Alexander John ""Alex"" Gregory",Summer,M,Rowing,Great Britain,84101,97.0,2016
42804,33.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,179.0,Silver,GBR,"Catherine Rose ""Katie"" Greves (-Solesbury)",Summer,F,Rowing,Great Britain,84273,71.0,2016
42984,31.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,180.0,Bronze,NOR,Kari Aalvik Grimsb,Summer,F,Handball,Norway,84706,80.0,2016
42994,25.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,203.0,Gold,USA,Brittney Yevette Griner,Summer,F,Basketball,United States,84720,94.0,2016
43037,30.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,190.0,Silver,LTU,Mindaugas Grikonis,Summer,M,Rowing,Lithuania,84812,92.0,2016
43241,21.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,179.0,Silver,AUS,Madeline Groves,Summer,F,Swimming,Australia,85252,66.0,2016
43300,27.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,193.0,Gold,GER,Hans Gruhne,Summer,M,Rowing,Germany,85408,92.0,2016
43570,34.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,207.0,Gold,BRA,Evandro Motta Guerra,Summer,M,Volleyball,Brazil,85929,106.0,2016
43698,34.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,179.0,Silver,FRA,Michal Yves Robert Guigou,Summer,M,Handball,France,86211,79.0,2016
44231,20.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,187.0,Silver,GBR,James George Guy,Summer,M,Swimming,Great Britain,87249,83.0,2016
44384,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,187.0,Gold,SUI,Mario-Elio Gyr,Summer,M,Rowing,Switzerland,87541,76.0,2016
44479,19.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,196.0,Gold,USA,Francis Townley Haas,Summer,M,Swimming,United States,87749,84.0,2016
44667,27.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,192.0,Bronze,GER,Kai Hfner,Summer,M,Handball,Germany,88097,95.0,2016
44745,21.0,Rio de Janeiro,Swimming Men's 400 metres Individual Medley,2016 Summer,177.0,Gold,JPN,Kosuke Hagino,Summer,M,Swimming,Japan,88240,71.0,2016
44993,22.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,183.0,Gold,USA,Arman Hall,Summer,M,Athletics,United States,88737,75.0,2016
45219,28.0,Rio de Janeiro,Gymnastics Men's Horizontal Bar,2016 Summer,164.0,Gold,GER,Fabian Hambchen,Summer,M,Gymnastics,Germany,89224,62.0,2016
45656,18.0,Rio de Janeiro,Taekwondo Men's Flyweight,2016 Summer,176.0,Silver,THA,Tawin Hanprab,Summer,M,Taekwondo,Thailand,90102,58.0,2016
45732,29.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,200.0,Gold,DEN,Henrik Toft Hansen,Summer,M,Handball,Denmark,90256,105.0,2016
45782,28.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,196.0,Gold,DEN,Mikkel Hansen,Summer,M,Handball,Denmark,90337,98.0,2016
45793,31.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,200.0,Gold,DEN,Ren Toft Hansen,Summer,M,Handball,Denmark,90361,105.0,2016
46091,29.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,188.0,Bronze,USA,Christa Deanne Harmotto-Dietzen,Summer,F,Volleyball,United States,90967,79.0,2016
46275,26.0,Rio de Janeiro,Athletics Men's Discus Throw,2016 Summer,207.0,Gold,GER,Christoph Harting,Summer,M,Athletics,Germany,91278,120.0,2016
46344,25.0,Rio de Janeiro,Boxing Men's Light-Welterweight,2016 Summer,172.0,Bronze,GER,Artem Harutyunyan,Summer,M,Boxing,Germany,91415,64.0,2016
46542,30.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,173.0,Gold,USA,Natasha Monique Hastings,Summer,F,Athletics,United States,91824,68.0,2016
46861,24.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,170.0,Bronze,CAN,Akeem Haynes,Summer,M,Athletics,Canada,92522,73.0,2016
46951,32.0,Rio de Janeiro,Rowing Women's Lightweight Double Sculls,2016 Summer,173.0,Gold,NED,Maaike Christiane Head,Summer,F,Rowing,Netherlands,92668,59.0,2016
47274,31.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,194.0,Bronze,GER,Silvio Heinevetter,Summer,M,Handball,Germany,93374,99.0,2016
47578,27.0,Rio de Janeiro,Athletics Men's Long Jump,2016 Summer,183.0,Gold,USA,"Jeffrey ""Jeff"" Henderson",Summer,M,Athletics,United States,93996,86.0,2016
47603,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,Bronze,NED,Kaj Hendriks,Summer,M,Rowing,Netherlands,94037,95.0,2016
47736,20.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,171.0,Bronze,GBR,Desiree Latifah N. Henry,Summer,F,Athletics,Great Britain,94315,64.0,2016
48041,16.0,Rio de Janeiro,Gymnastics Women's Balance Beam,2016 Summer,152.0,Silver,USA,"Lauren Zoe ""Laurie"" Hernandez",Summer,F,Gymnastics,United States,94894,49.0,2016
48058,20.0,Rio de Janeiro,Boxing Men's Light-Flyweight,2016 Summer,165.0,Bronze,USA,Nico Miguel Hernandez,Summer,M,Boxing,United States,94922,49.0,2016
48109,22.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,210.0,Bronze,ESP,"Guillermo Gustavo ""Willy"" Hernangmez Geuer",Summer,M,Basketball,Spain,95006,115.0,2016
48128,29.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,167.0,Bronze,NOR,Camilla Herrem,Summer,F,Handball,Norway,95045,57.0,2016
