ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
525,Tánó,10.75,male,Unknown Mix,1/15/17,1/15/17,3/10/17,black,short,medium,yes,,yes,,,yes,,both flat and garden
495,Sherry,4.67,male,Unknown Mix,3/30/17,3/30/17,3/30/17,black and white,short,medium,no,,yes,yes,yes,yes,,flat
3500,Omaha,3.08,female,Unknown Mix,3/25/17,3/25/17,3/26/17,white,short,small,yes,,yes,,yes,yes,,both flat and garden
498,Lili,4.67,female,Unknown Mix,3/30/17,3/30/17,3/30/17,brown,short,small,no,,yes,yes,yes,yes,,flat
637,Reni,4.67,male,German Shepherd Dog Mix,7/1/16,3/10/17,3/29/17,black and brown,short,medium,no,,yes,,yes,yes,,both flat and garden
497,Benjy,3.67,male,Unknown Mix,3/30/17,3/30/17,3/30/17,gray and white,medium,small,no,,yes,yes,yes,yes,,flat
628,Kevin,3.67,male,Dachshund Mix,2/1/17,3/21/17,3/22/17,yellow,short,small,,,yes,yes,yes,yes,,flat
527,Bejgli,3.75,female,Unknown Mix,12/13/16,12/13/16,3/10/17,black,medium,small,yes,,yes,yes,yes,,,both flat and garden
526,Voice,3.5,male,Unknown Mix,11/1/16,11/1/16,3/10/17,brown and white,short,medium,yes,,yes,,,yes,,both flat and garden
630,Andris,3.67,male,Unknown Mix,2/1/17,3/21/17,3/22/17,black and brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
620,Bubika,3.5,female,German Shepherd Dog Mix,3/11/17,3/11/17,3/11/17,sable,short,medium,no,,yes,,yes,yes,,both flat and garden
619,Betti,5.75,female,Unknown Mix,2/26/17,3/10/17,3/4/17,black and brown,short,medium,yes,,yes,,yes,yes,,flat
631,Amigo,3.67,male,Unknown Mix,2/1/17,3/21/17,3/22/17,black and tan,short,medium,no,,yes,yes,yes,yes,,both flat and garden
627,Kefir,3.67,male,Dachshund Mix,2/1/17,3/21/17,3/22/17,red and white,short,small,no,,yes,yes,yes,yes,,flat
617,Wendy,3,female,Unknown Mix,2/26/17,3/10/17,3/4/17,black,short,medium,,,yes,,yes,yes,,both flat and garden
635,Geda,4.67,male,Unknown Mix,9/8/16,3/10/17,3/29/17,yellow,short,medium,no,,yes,,yes,yes,,both flat and garden
606,Kondás,4.83,male,Puli,7/1/16,11/18/16,2/10/17,black,long,medium,no,,yes,,yes,yes,,both flat and garden
419,Tyson,5.5,male,Staffordshire Terrier,2/14/17,2/14/17,2/21/17,striped,short,medium,,,yes,yes,,,,garden
417,Lehel,3.67,male,German Shepherd Dog Mix,2/5/17,2/5/17,2/21/17,red,medium,large,,,yes,yes,,yes,,garden
414,Mister,3.67,male,Unknown Mix,2/19/17,2/19/17,2/21/17,yellow-brown,short,large,,,yes,yes,,yes,,both flat and garden
7672,Alíz,3.75,female,Vizsla Mix,3/1/16,3/1/16,2/21/17,brown,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
422,Nana,10.17,female,Kuvasz,2/3/17,2/3/17,2/21/17,white,medium,large,,,yes,yes,yes,yes,yes,garden
413,Hekus,4.83,male,German Shepherd Dog Mix,2/19/17,2/19/17,2/21/17,black and tan,medium,large,,,yes,yes,,yes,,both flat and garden
418,Kajla,3.83,female,Unknown Mix,2/5/17,2/5/17,2/21/17,red,medium,medium,,,yes,yes,yes,yes,,both flat and garden
421,Erik,3.83,male,Unknown Mix,2/5/17,2/5/17,2/21/17,brown,long,small,,,yes,yes,yes,yes,,both flat and garden
416,Alaska,5.33,female,West Highland White Terrier Mix,2/12/17,2/12/17,2/21/17,gray and white,long,small,,,yes,yes,yes,yes,,flat
420,Maxim,3.83,male,German Shepherd Dog Mix,2/5/17,2/5/17,2/21/17,saddle back,medium,medium,,,yes,yes,yes,yes,,both flat and garden
2923,Pici,10,female,Unknown Mix,2/15/17,2/15/17,2/26/17,tricolor,short,small,yes,,yes,,,,,both flat and garden
487,Barki,5.83,male,Unknown Mix,2/1/17,2/4/17,2/4/17,brown,short,medium,no,,yes,yes,yes,yes,,both flat and garden
716,Afgán,10.83,male,Afghan Hound,1/29/17,1/29/17,1/29/17,apricot,long,medium,yes,,yes,yes,yes,yes,,flat
492,Kerry,4.75,female,Unknown Mix,3/2/17,3/2/17,3/2/17,black,medium,small,yes,,yes,yes,yes,yes,,flat
524,Kevin,8.17,male,Unknown Mix,11/10/16,11/10/16,2/21/17,white,short,medium,yes,,yes,,,,,both flat and garden
523,Bajnok,6.75,male,Vizsla Mix,8/1/15,8/1/15,2/21/17,brown,short,medium,yes,,yes,,,,,both flat and garden
489,Baily,3.17,male,Unknown Mix,2/10/17,2/10/17,2/10/17,yellow-brown,short,small,no,,yes,yes,yes,yes,yes,flat
2925,Viki,8.5,female,Unknown Mix,3/1/17,4/1/17,3/2/17,black,short,medium,yes,,,,,,,both flat and garden
415,Vándor,11,male,Unknown Mix,2/14/17,2/14/17,2/21/17,black and brown,short,medium,,,yes,yes,yes,yes,,both flat and garden
122,Astra,5.92,male,Siberian Husky,1/1/17,1/1/17,1/19/17,black and white,medium,medium,yes,,yes,yes,,,,both flat and garden
604,Pulcsi,8.83,male,Puli,10/1/16,1/1/17,1/27/17,black,medium,medium,no,,yes,,yes,yes,,both flat and garden
905,Pajtás,4.83,male,Vizsla Mix,1/3/17,1/3/17,1/23/17,yellow-brown,short,medium,yes,yes,yes,yes,yes,yes,,flat
1299,Egri Vitéz,4.92,male,"Bearded Collie, Staffordshire Terrier Mix",1/2/17,1/2/17,1/9/17,black and white,short,medium,yes,,yes,yes,yes,yes,yes,both flat and garden
7662,Rocky,4.92,male,Unknown Mix,1/2/17,1/2/17,1/8/17,spotty,short,medium,no,,yes,,yes,yes,no,both flat and garden
3384,Alma,4.92,female,Unknown Mix,12/30/16,12/30/16,1/3/17,black,short,medium,yes,,yes,,,,,both flat and garden
2828,Ödön,5.17,male,Unknown Mix,11/9/16,12/10/16,11/14/16,brown,medium,medium,,,,,,,,garden
601,Tacsika,4.92,male,Dachshund Mix,12/30/16,1/2/17,1/2/17,wild boar,short,small,no,,yes,,yes,yes,,flat
600,Rotika,4.42,male,Rottweiler Mix,12/30/16,1/2/17,1/2/17,black and tan,short,medium,no,,yes,,yes,yes,,both flat and garden
119,Leó,13.08,male,Siberian Husky,11/16/16,11/16/16,11/18/16,black and white,medium,medium,yes,,yes,,,,,both flat and garden
2896,Tódor,3.92,male,Labrador Retriever Mix,1/19/17,2/11/17,1/29/17,black,short,large,yes,,yes,yes,,yes,,both flat and garden
712,Szamoskéri Fanta,4.17,female,"German Shepherd Dog, Greyhound Mix",9/11/16,1/5/17,1/20/17,black,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1058,Rex,8,male,German Shepherd Dog Mix,11/10/16,11/10/16,11/27/16,black and brown,medium,large,yes,,yes,yes,yes,yes,,garden
176,Gizmó,4.83,female,Pekingese Mix,2/1/16,2/1/16,1/29/17,black,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden
7650,Römi,5,male,Labrador Retriever Mix,12/11/15,12/11/15,11/16/16,yellow-brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
1059,Conor,5.5,male,Unknown Mix,5/1/16,5/1/16,11/27/16,black,short,large,yes,,yes,yes,yes,yes,,garden
472,Bibo,5.92,male,Unknown Mix,12/15/16,12/15/16,12/15/16,black,medium,medium,,,yes,yes,yes,yes,,both flat and garden
7659,Blacky,4.92,male,Labrador Retriever Mix,12/10/16,12/10/16,12/24/16,black,short,medium,no,,yes,,yes,yes,,both flat and garden
2827,Örzse,5,female,Unknown Mix,11/10/16,11/10/16,11/14/16,tricolor,short,medium,yes,,,,,,,garden
3331,Lotti,5,female,Staffordshire Terrier Mix,11/20/16,11/20/16,11/23/16,golden,short,medium,yes,,yes,,,,,both flat and garden
1123,Keres Emil,8.92,male,Unknown Mix,5/27/16,5/27/16,11/6/16,white,short,large,yes,,,,,,,
455,Paul,3.5,male,Unknown Mix,10/29/16,10/29/16,10/29/16,black,medium,small,no,,yes,yes,no,yes,no,both flat and garden
594,Lord,4.58,male,Dachshund Mix,11/9/16,11/9/16,11/9/16,black and white,short,small,no,,yes,,yes,yes,,flat
1054,Gina,6.83,female,Staffordshire Terrier Mix,4/5/16,4/5/16,11/12/16,brown,short,medium,yes,,yes,yes,yes,no,no,both flat and garden
2826,Maci/Zoé,3.25,female,Unknown Mix,10/21/16,12/10/16,10/26/16,brown,medium,medium,,,yes,yes,yes,yes,,both flat and garden
7645,Mókus,3.25,female,"Dachshund, English Cocker Spaniel, Whippet Mix",10/31/16,10/31/16,11/11/16,yellow-brown,medium,medium,no,no,yes,,yes,yes,,flat
7644,,3.75,female,Unknown Mix,10/24/16,10/24/16,10/31/16,black,short,small,no,yes,yes,yes,yes,yes,,both flat and garden
458,Smokey,4,male,Unknown Mix,10/29/16,10/29/16,10/29/16,black,wirehaired,medium,no,,yes,yes,yes,yes,,both flat and garden
595,Bogi,3.92,female,Puli Mix,11/10/16,11/10/16,11/12/16,black,medium,medium,yes,yes,yes,,yes,yes,,both flat and garden
2821,Morzsa/Démon,3.17,female,Unknown Mix,10/4/16,12/24/16,10/26/16,black and brown,short,medium,,,yes,yes,yes,yes,,both flat and garden
7638,Félix,6.08,male,Puli Mix,3/29/14,3/29/14,10/14/16,apricot,medium,medium,yes,yes,yes,yes,yes,yes,yes,garden
597,Dezsõ,5.08,male,Unknown Mix,10/14/16,10/14/16,11/12/16,yellow,short,medium,,,yes,,yes,yes,,flat
1052,Donna,7.58,female,Staffordshire Terrier Mix,9/2/15,9/2/15,11/12/16,brown,short,large,yes,,yes,yes,yes,no,,both flat and garden
7633,Coyote,4.92,male,German Shepherd Dog Mix,3/9/15,3/9/15,10/10/16,sable,medium,large,yes,,,,yes,yes,yes,garden
7634,Pirinyó,9.17,female,"Chihuahua, Pinscher Mix",5/12/16,5/12/16,10/10/16,black and tan,short,small,,yes,yes,yes,yes,yes,yes,both flat and garden
1120,Kis Jani,4.08,male,Briard Mix,8/16/16,8/16/16,11/6/16,yellow-brown,medium,large,yes,,yes,,,yes,,both flat and garden
1122,Ferdinánd,9.42,male,German Shepherd Dog Mix,6/5/16,6/5/16,11/6/16,tricolor,medium,medium,yes,,,,,,,
7636,Benõ,11.83,male,Labrador Retriever Mix,9/10/08,9/10/08,10/11/16,black,short,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden
1121,Lavor,8.08,female,Labrador Retriever Mix,8/3/16,8/3/16,11/6/16,black,short,large,yes,,,,no,,,both flat and garden
466,Rudolf,5,male,Unknown Mix,11/13/16,11/13/16,11/13/16,black,wirehaired,medium,yes,,yes,yes,yes,yes,,both flat and garden
609,Rocky,11.08,male,German Shepherd Dog,5/13/16,5/13/16,9/11/16,black and tan,short,large,yes,,yes,,no,,,both flat and garden
587,Gitta,4.83,female,Unknown Mix,6/1/16,7/1/16,10/7/16,brown,short,small,yes,,yes,,yes,yes,,both flat and garden
2785,Oreo,5.67,male,Dachshund Mix,9/13/16,9/13/16,9/19/16,black,short,small,,,yes,yes,,yes,,
2909,Tirza,7.33,female,Staffordshire Terrier Mix,8/21/16,8/21/16,8/31/16,striped,short,medium,,,,,,,,
2827,Fõnök,4.67,male,Unknown Mix,1/20/16,1/20/16,8/21/16,sable,short,large,yes,,,,,,,
7616,Grisella,14,female,German Shepherd Dog,3/17/16,3/17/16,8/23/16,gray,medium,large,yes,yes,yes,,yes,yes,,both flat and garden
2826,Csorba,4.67,male,Unknown Mix,1/20/16,1/20/16,8/21/16,gray,wirehaired,large,yes,,,,,,,
2908,Mojka,4.83,female,Unknown Mix,8/18/16,8/18/16,8/31/16,gray and white,short,medium,,,,,,,,
2822,Soki,5.33,male,Unknown Mix,12/20/15,12/20/15,8/21/16,black,short,medium,yes,,,,,,,
2852,Tadeus,14.75,male,Unknown Mix,3/17/16,3/17/16,8/25/16,black and tan,wirehaired,medium,,,,,,,,
2855,Mali,4.58,female,Unknown Mix,5/1/16,5/1/16,8/25/16,yellow-brown,short,medium,,,,,,,,
2843,Csubakka,4.67,male,Unknown Mix,3/1/16,3/1/16,8/21/16,gray,medium,large,,,,,,,,
2878,Bombur,8.5,male,Labrador Retriever Mix,6/25/16,6/25/16,8/25/16,black,short,medium,yes,,,,,,,
2850,Ferina,5.33,female,Unknown Mix,3/1/16,3/1/16,8/25/16,yellow-brown,medium,large,yes,,,,,,,
2898,Vicus,4.5,female,Unknown Mix,7/29/16,7/29/16,8/31/16,yellow-brown,short,small,,,,,,,,
2775,Lajka,3.42,male,Vizsla Mix,8/19/16,8/19/16,8/28/16,black and brown,short,medium,,,yes,yes,yes,yes,,garden
2873,Csiperke,3.5,female,Unknown Mix,6/20/16,6/20/16,8/25/16,yellow-brown,short,small,yes,,,,,,,
2842,Allergra,10.83,female,Staffordshire Terrier Mix,2/23/16,2/23/16,8/21/16,brown and white,short,medium,yes,,,,,,,
2912,Cintia,5.33,female,Unknown Mix,8/23/16,8/23/16,8/31/16,yellow-brown,short,medium,,,,,,,,
7625,Csutak,3.67,male,Pekingese Mix,9/15/16,9/15/16,9/17/16,red and white,long,small,no,yes,yes,yes,yes,yes,yes,flat
2716,Héra,4.58,female,Staffordshire Terrier Mix,6/17/16,7/16/16,6/19/16,brown,short,medium,yes,,yes,yes,,,,both flat and garden
2726,Juli,4.92,female,Unknown Mix,6/13/16,6/13/16,6/28/16,brown,wirehaired,large,,,yes,yes,yes,yes,,garden
1118,Önkéntes,10.92,male,German Shepherd Dog Mix,7/1/16,7/1/16,8/19/16,black and brown,medium,large,yes,,,,,,,
3119,Jimmy,4.42,male,Unknown Mix,7/10/16,7/10/16,7/24/16,apricot,short,medium,yes,yes,yes,,yes,yes,,both flat and garden
574,Fülöp,4.08,male,Schnauzer Mix,4/11/16,7/26/16,7/26/16,black,medium,small,,,yes,,yes,yes,,both flat and garden
2820,Lex,7.83,male,Unknown Mix,11/8/15,11/8/15,8/21/16,yellow-brown,short,large,,,,,,,,
7589,Semyr,3.92,male,Belgian Malinois Mix,6/3/16,6/3/16,6/23/16,saddle back,short,medium,no,,yes,,yes,yes,,both flat and garden
1500,Perecesi Gazdikeresõ,3.92,female,Unknown Mix,6/6/16,6/6/16,6/12/16,black,medium,medium,no,,yes,yes,yes,yes,yes,garden
604,Chris,3.58,male,Staffordshire Terrier Mix,5/1/16,5/1/16,6/24/16,black and tan,short,medium,yes,,yes,yes,,yes,,both flat and garden
3564,Bütyõk,5.42,female,"Puli, Pumi Mix",11/15/15,11/15/15,7/4/16,black,medium,medium,yes,yes,yes,,yes,,,both flat and garden
648,Gömbi,11.83,male,German Shepherd Dog Mix,3/4/16,3/4/16,6/22/16,black and tan,short,medium,yes,yes,yes,yes,,,yes,both flat and garden
534,Lime,13.5,female,English Cocker Spaniel,3/27/16,3/27/16,6/7/16,black,medium,medium,yes,,,,,,,
3105,Cibil,4.42,female,Unknown Mix,7/5/16,7/5/16,7/18/16,brown and white,short,medium,yes,,yes,,yes,yes,,both flat and garden
1497,Liza,4.33,female,Rottweiler Mix,5/14/16,5/15/16,6/8/16,black and tan,short,medium,,,yes,,,,,garden
400,Niké,4.42,female,Unknown Mix,1/26/16,1/26/16,6/14/16,black and tan,short,medium,,,yes,yes,yes,yes,,both flat and garden
7601,Dagi,5.83,male,"Dachshund, Terrier Mix",12/31/15,12/31/15,7/6/16,black and brown,medium,small,,yes,yes,yes,no,yes,no,both flat and garden
1499,Mona,5.5,female,Dachshund Mix,5/7/16,5/7/16,6/12/16,striped,short,small,yes,yes,yes,,yes,,yes,flat
7602,Rupert,3.83,male,Pumi Mix,6/1/16,6/1/16,7/7/16,black,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden
3132,Toffife,4.33,male,Unknown Mix,7/15/16,7/15/16,7/26/16,black and brown,short,small,yes,,yes,,,,,both flat and garden
1269,Hobó,5.83,male,Giant Schnauzer,5/1/16,5/1/16,8/11/16,black,medium,large,,no,yes,yes,yes,yes,,both flat and garden
1496,Befogadott Kutya Gazdát Keres,7.5,male,"Dachshund, Labrador Retriever Mix",5/19/16,5/19/16,5/26/16,brown and white,short,medium,no,,,,,,,
556,Saci,9.5,female,"Schnauzer, Spaniel Mix",5/15/16,5/15/16,6/6/16,black,medium,medium,yes,yes,yes,,yes,yes,,flat
2116,Fáncsi,4.58,female,Staffordshire Terrier Mix,2/7/16,2/7/16,5/19/16,black and white,short,medium,yes,,yes,yes,yes,yes,no,both flat and garden
2127,Lucy,9.08,female,Unknown Mix,11/3/15,11/3/15,5/19/16,black and white,short,medium,yes,yes,yes,yes,yes,yes,no,garden
2119,Hendó,11.58,male,Staffordshire Terrier Mix,5/4/15,5/4/15,5/19/16,striped,short,medium,yes,yes,yes,yes,no,yes,no,both flat and garden
2125,Laki,5.92,male,Unknown Mix,1/24/16,1/24/16,5/19/16,black,short,large,yes,,yes,yes,yes,yes,no,both flat and garden
2118,Gömbi,11.75,male,Unknown Mix,3/22/16,3/22/16,5/19/16,gray,wirehaired,medium,no,yes,yes,yes,yes,yes,no,both flat and garden
2126,Lédi,6.75,female,Unknown Mix,3/6/16,3/6/16,5/19/16,black,short,medium,no,yes,yes,yes,yes,yes,no,garden
2121,Ivett,8.08,female,Cane Corso,10/9/15,10/9/15,5/19/16,black,short,large,yes,yes,yes,no,no,no,no,garden
614,Szentgotthárdi Rex,7.5,male,"Belgian Malinois, Greyhound Mix",5/19/16,5/20/16,5/19/16,yellow,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
2115,Eddy,10.42,male,Unknown Mix,3/22/16,3/22/16,5/19/16,black and brown,short,large,no,yes,yes,no,no,no,no,garden
2124,Kormi,9.67,male,Unknown Mix,4/8/16,4/8/16,5/19/16,black and brown,wirehaired,medium,no,yes,yes,yes,yes,yes,no,both flat and garden
1494,Új Gazdát Keres,9.5,female,Havanese,5/3/16,5/3/16,5/21/16,black and white,medium,small,,yes,yes,,,,,flat
2114,Dorren,12.75,male,Unknown Mix,2/10/16,2/10/16,5/19/16,gray,wirehaired,medium,yes,yes,yes,yes,no,yes,no,garden
396,Pita I.,3.83,female,Unknown Mix,6/1/16,6/1/16,6/2/16,tricolor,short,medium,,,yes,yes,yes,yes,,both flat and garden
2123,Kolos,4.58,male,Unknown Mix,12/4/15,12/4/15,5/19/16,black,wirehaired,medium,yes,yes,yes,yes,yes,yes,no,both flat and garden
2120,Hudini,5.33,male,Unknown Mix,2/21/16,2/21/16,5/19/16,black,short,medium,yes,,yes,yes,no,yes,no,both flat and garden
2122,Jily,7.5,female,Unknown Mix,6/15/15,6/15/15,5/19/16,black,wirehaired,large,yes,,yes,yes,yes,yes,no,garden
582,Kicsi,4.5,female,Unknown Mix,5/20/16,5/20/16,6/3/16,brown,short,small,yes,,yes,yes,yes,yes,,both flat and garden
2117,Gizi,5.25,female,Vizsla Mix,3/5/15,3/5/15,5/19/16,brown,short,medium,no,yes,yes,yes,yes,yes,yes,garden
2112,Camy,10.42,male,Staffordshire Terrier,7/14/15,7/14/15,5/19/16,black,short,medium,yes,yes,yes,yes,no,no,no,both flat and garden
2107,Borzos,11.83,male,Old German Shepherd,2/18/16,2/18/16,5/19/16,black and brown,medium,large,no,yes,yes,no,no,no,no,garden
541,Bundás,6.58,female,Unknown Mix,5/1/15,5/1/15,5/11/16,black and brown,medium,medium,yes,,yes,,yes,yes,,both flat and garden
543,Belgák,8.58,male,Belgian Sheepdog Mix,4/5/14,4/5/14,5/11/16,black and brown,medium,medium,,,yes,,,,,
2103,Becky,5.92,female,Staffordshire Terrier Mix,1/29/16,1/29/16,5/19/16,striped,short,medium,yes,,yes,yes,yes,no,no,both flat and garden
540,Bodri,6.58,male,Puli,8/1/15,8/1/15,5/11/16,gray,long,medium,,,yes,,yes,yes,,both flat and garden
2105,Betyár,8.75,male,Unknown Mix,3/25/16,3/25/16,5/19/16,brown,short,medium,no,yes,yes,no,no,no,no,garden
1047,Lennox,4.5,male,Unknown Mix,4/16/16,4/16/16,5/15/16,brown and white,medium,medium,yes,,yes,yes,yes,yes,no,both flat and garden
2113,Dalton,5.75,male,Unknown Mix,3/3/16,3/3/16,5/19/16,striped,short,medium,no,yes,yes,yes,yes,yes,no,both flat and garden
1493,Lati,7.58,male,Unknown Mix,4/29/16,4/30/16,5/13/16,sable,short,medium,no,,yes,,,,,both flat and garden
2111,Buksi,11.67,male,Setter Mix,4/7/16,4/7/16,5/19/16,black,medium,medium,no,yes,yes,yes,no,yes,no,garden
1036,Greg,6.5,male,Unknown Mix,4/10/16,4/10/16,5/15/16,brown and white,short,medium,yes,,yes,yes,,yes,,both flat and garden
2106,Bobi,9.58,male,Unknown Mix,5/15/15,5/15/15,5/19/16,gray,short,medium,yes,yes,yes,yes,no,yes,no,garden
1039,Marcus,4.5,male,Unknown Mix,3/20/16,3/20/16,5/15/16,black and brown,short,medium,yes,,yes,yes,no,yes,,both flat and garden
2110,Buena,4.58,female,Unknown Mix,4/18/16,4/18/16,5/19/16,black and brown,short,large,no,,yes,yes,yes,yes,no,garden
2108,Boxi,4.67,male,Unknown Mix,5/4/16,5/4/16,5/19/16,brown,short,large,no,yes,yes,yes,yes,yes,no,garden
2104,Beka,4.42,female,Unknown Mix,3/20/16,3/20/16,5/19/16,black,short,medium,no,,yes,yes,yes,yes,no,both flat and garden
2109,Brissi,4.75,female,Unknown Mix,9/17/15,9/17/15,5/19/16,black,short,small,yes,,yes,yes,yes,yes,no,both flat and garden
3003,Jose,5.58,male,Unknown Mix,5/14/16,5/14/16,5/16/16,brown and white,short,medium,yes,,yes,,yes,yes,,both flat and garden
2102,Bald,4.75,male,Unknown Mix,3/28/16,3/28/16,5/19/16,brown,short,small,no,,yes,yes,yes,yes,no,both flat and garden
235,Mazsi,12.92,female,Labrador Retriever Mix,12/3/10,12/3/10,5/3/16,black,short,medium,yes,,yes,,yes,,,both flat and garden
227,Szami,10.92,female,Unknown Mix,12/17/10,12/17/10,5/3/16,black,short,medium,yes,,yes,,yes,,,both flat and garden
233,Linda,11.92,female,Unknown Mix,12/3/10,12/3/10,5/3/16,black,short,medium,yes,,yes,,yes,,,both flat and garden
1993,Janka,8.5,female,Unknown Mix,3/31/16,3/31/16,5/4/16,black,short,medium,yes,,yes,,yes,,,both flat and garden
230,Tücsök,12.92,female,Dachshund Mix,3/1/12,3/1/12,5/3/16,black and tan,short,small,yes,,yes,,yes,,,flat
237,Huncutka,12.92,female,German Shepherd Dog Mix,12/3/10,12/3/10,5/3/16,black and tan,short,medium,yes,,yes,,yes,,,both flat and garden
238,Artúr,12.92,male,Unknown Mix,12/3/10,12/3/10,5/3/16,gray and white,wirehaired,medium,no,,yes,,no,yes,,garden
232,Lady,14.92,female,Unknown Mix,12/3/10,12/3/10,5/3/16,yellow-brown,short,medium,yes,,yes,,yes,,,both flat and garden
236,Bodrog,12.92,male,Unknown Mix,12/3/10,12/3/10,5/3/16,yellow-brown,wirehaired,medium,no,,yes,,,yes,,both flat and garden
1990,Bobi,7.83,male,German Shepherd Dog Mix,3/31/16,3/31/16,5/3/16,sable,medium,large,no,,yes,,,yes,,both flat and garden
234,Gigi,13.92,female,Pointer Mix,12/3/10,12/3/10,5/3/16,dotted,short,medium,yes,,yes,,yes,,,garden
1491,Rexi,6.58,male,Unknown Mix,4/12/16,4/13/16,5/4/16,sable,short,medium,no,,yes,yes,,,,garden
581,Johnny,6.75,male,Unknown Mix,5/4/16,5/4/16,5/5/16,saddle back,short,large,yes,,yes,yes,yes,yes,yes,garden
241,Bea,9.33,female,German Shepherd Dog Mix,2/11/15,2/11/15,5/3/16,sable,short,large,yes,,yes,,yes,yes,,garden
2695,Homár,6.58,male,Unknown Mix,4/28/16,5/21/16,5/5/16,black,short,medium,,,yes,yes,yes,yes,,both flat and garden
1998,Táncos,5,male,Unknown Mix,4/15/16,4/15/16,5/4/16,yellow-brown,short,medium,yes,,yes,,,yes,,both flat and garden
221,Frenki,11.92,male,Labrador Retriever Mix,4/20/16,4/20/16,5/3/16,yellow-brown,short,large,no,,yes,,,yes,,both flat and garden
224,Lui,10.92,male,Unknown Mix,2/24/14,2/24/14,5/3/16,black,short,small,no,,yes,,,yes,,both flat and garden
1492,Süti,7.58,male,Beagle,4/28/16,4/29/16,5/6/16,tricolor,short,medium,no,,yes,yes,,,,both flat and garden
231,Hajni,11.92,female,Unknown Mix,12/3/10,12/3/10,5/3/16,black,wirehaired,medium,yes,,yes,,yes,,,both flat and garden
2682,Baltazár,6.42,male,Pumi Mix,4/22/16,5/7/16,4/22/16,black,short,medium,,,yes,yes,,yes,,garden
217,Bogyó,4.92,female,Dachshund Mix,3/1/16,3/1/16,4/4/16,brown,short,small,yes,,yes,,yes,yes,,flat
219,Torma,10.92,male,Unknown Mix,6/6/14,6/6/14,4/5/16,black and tan,wirehaired,small,no,,yes,,,yes,,both flat and garden
1470,Csöpi,19.92,female,Unknown Mix,3/4/16,3/4/16,3/26/16,saddle back,short,medium,no,,,,,,,
1484,Sajóvámosi  Gazdikeresõ,4.67,male,Unknown Mix,4/7/16,4/8/16,4/8/16,striped,wirehaired,medium,no,,yes,,,,,garden
517,Bogyi,6.17,female,Unknown Mix,5/1/15,7/1/15,4/13/16,black,short,medium,yes,,yes,,yes,yes,,both flat and garden
518,Bob,8.67,male,Unknown Mix,5/1/15,5/1/15,4/13/16,yellow,short,small,no,,yes,,yes,yes,,flat
1488,Német Juhász Gazdát Keres,11.58,male,German Shepherd Dog,4/12/16,4/12/16,4/22/16,black and tan,medium,large,no,,yes,,,,,garden
1490,Lucy,5.58,female,Hovawart Mix,4/12/16,4/12/16,4/29/16,black and brown,long,large,,,yes,,,,,garden
1468,Nusi,7.67,female,Unknown Mix,2/27/16,2/27/16,3/26/16,brown,medium,small,,,,,,,,
502,Alíz,7.17,female,Unknown Mix,4/5/14,5/15/14,4/9/16,black,short,medium,yes,,yes,,yes,yes,,both flat and garden
220,Dorka,13.92,female,German Pointer Mix,1/1/11,1/1/11,4/5/16,brown,wirehaired,large,yes,,yes,,yes,,,both flat and garden
1483,Bessy,10.67,female,German Shepherd Dog,4/4/16,4/4/16,4/5/16,black and tan,medium,large,no,,yes,yes,no,no,no,garden
1489,Keverék Kutyus Gazdit Keres,5.58,female,Dachshund Mix,4/20/16,4/20/16,4/27/16,black and brown,short,small,no,,yes,,,,,both flat and garden
1486,Angel,6.58,female,Unknown Mix,4/11/16,4/12/16,4/15/16,yellow-brown,wirehaired,medium,no,yes,yes,yes,,,,both flat and garden
1485,Keverék Kiskutya Gazdit Keres,3.67,male,Unknown Mix,4/6/16,5/15/16,4/13/16,white,short,small,no,no,yes,yes,yes,yes,yes,flat
527,Gyufa,8.58,male,Dachshund Mix,11/19/15,11/19/15,4/22/16,black and white,short,small,yes,,,,,,,
77,,7.67,female,Unknown Mix,4/3/16,4/3/16,4/3/16,yellow-brown,short,small,,,,,,,,
1471,Linda,12.25,female,Unknown Mix,3/4/16,3/4/16,3/26/16,brown,short,medium,,,,,,,,
2670,Gabi,4.75,male,German Shepherd Dog Mix,3/27/16,5/7/16,3/30/16,black and brown,short,medium,,,yes,yes,yes,,,garden
1461,Tacsi Pacsi,4.83,male,Unknown Mix,2/21/16,2/21/16,3/26/16,black,medium,medium,,,,,,,,
1451,Demi,18.92,male,Dachshund Mix,1/22/16,1/22/16,3/26/16,brown,medium,small,,,,,,,,
1482,Gazdát Keres,6.67,female,Caucasian Ovtcharka,3/18/16,3/20/16,3/25/16,saddle back,medium,large,yes,,yes,,,,,garden
576,Katie,8.17,female,Labrador Retriever Mix,1/31/15,1/31/15,3/21/16,yellow,short,medium,yes,,yes,,yes,yes,,both flat and garden
